"Word","CEFR"
"det vill säga (förk. d.v.s., dvs.)","A1"
"kontakt","A1"
"takt","A1"
"värde","A1"
"förutsättning","A1"
"sats","A1"
"medlemsstat","A1"
"hinna","A1"
"sanning","A1"
"religion","A1"
"källa","A1"
"må","A1"
"kostnad","A1"
"medborgare","A1"
"förhållande","A1"
"far (el. fader, vardagl. farsa)","A1"
"miljard","A1"
"ungdom","A1"
"släppa","A1"
"enbart","A1"
"drag","A1"
"verklighet","A1"
"författare","A1"
"tillgång","A1"
"nödvändig","A1"
"full","A1"
"frihet","A1"
"passa","A1"
"lokal","A1"
"ytterligare","A1"
"öppna","A1"
"införa","A1"
"ledare","A1"
"mamma","A1"
"sammanhang","A1"
"svensk","A1"
"hemma","A1"
"produkt","A1"
"därefter","A1"
"efter","A1"
"match","A1"
"tro","A1"
"alldeles","A1"
"lätt","A1"
"sann","A1"
"uppfattning","A1"
"demokrat","A1"
"bolag","A1"
"erfarenhet","A1"
"kritik","A1"
"grad","A1"
"jude","A1"
"vacker","A1"
"erbjuda","A1"
"kamp","A1"
"period","A1"
"modern","A1"
"spelare","A1"
"elev","A1"
"utredning","A1"
"ingå","A1"
"kung","A1"
"bestå","A1"
"katt","A1"
"konstatera","A1"
"dit","A1"
"klart","A1"
"nuvarande","A1"
"styra","A1"
"förlora","A1"
"vit","A1"
"klocka","A1"
"påstå","A1"
"skatt","A1"
"besluta","A1"
"befolkning","A1"
"avse","A1"
"ro","A1"
"privat","A1"
"steg","A1"
"art","A1"
"stödja","A1"
"ond","A1"
"plan","A1"
"resa","A1"
"utom","A1"
"hund","A1"
"syn","A1"
"glömma","A1"
"avtal","A1"
"lek","A1"
"kul","A1"
"natt","A1"
"förändra","A1"
"ange","A1"
"någonting","A1"
"förstås","A1"
"individ","A1"
"älska","A1"
"motion","A1"
"glad","A1"
"ned","A1"
"dator","A1"
"miljö","A1"
"ek","A1"
"åtminstone","A1"
"presentera","A1"
"stanna","A1"
"byta","A1"
"alternativ","A1"
"minut","A1"
"ingenting","A1"
"uppleva","A1"
"samla","A1"
"svart","A1"
"bakgrund","A1"
"skott","A1"
"ö","A1"
"kärlek","A1"
"metod","A1"
"äldre","A1"
"säker","A1"
"borgare","A1"
"gud","A1"
"insats","A1"
"tysk","A1"
"kontroll","A1"
"lösa","A1"
"kolla","A1"
"fylla","A1"
"bestämmelse","A1"
"ris","A1"
"drabba","A1"
"nät","A1"
"teknik","A1"
"resurs","A1"
"försök","A1"
"fara","A1"
"tjäna","A1"
"argument","A1"
"behandla","A1"
"ren","A1"
"fru","A1"
"sjuk","A1"
"istället för (el. i stället för)","A1"
"våld","A1"
"utföra","A1"
"ställning","A1"
"främst","A1"
"räcka","A1"
"bättre","A1"
"fundera","A1"
"visst","A1"
"sommar","A1"
"rörelse","A1"
"kund","A1"
"villkor","A1"
"tillbaka (vardagl. tillbaks)","A1"
"högt","A1"
"president","A1"
"emellertid","A1"
"händelse","A1"
"uppstå","A1"
"acceptera","A1"
"huvud","A1"
"sök","A1"
"snabb","A1"
"så kallad (förk. s.k., s k)","A1"
"framför","A1"
"ande","A1"
"bilda","A1"
"orsak","A1"
"försvinna","A1"
"fel","A1"
"innehåll","A1"
"natur","A1"
"begrepp","A1"
"för att","A1"
"konflikt","A1"
"tack","A1"
"djur","A1"
"chans","A1"
"samtidigt som","A1"
"demokratisk","A1"
"fel","A1"
"läge","A1"
"sprida","A1"
"växt","A1"
"förutom","A1"
"i samband med","A1"
"styck","A1"
"utskott","A1"
"muslim","A1"
"ordning","A1"
"uppdrag","A1"
"mark","A1"
"säkerhet","A1"
"linje","A1"
"bank","A1"
"önska","A1"
"givetvis","A1"
"studie","A1"
"fredag","A1"
"lärare","A1"
"statlig","A1"
"söndag","A1"
"fel","A1"
"speciellt","A1"
"röd","A1"
"television (el. teve, tv)","A1"
"hot","A1"
"verk","A1"
"publicera","A1"
"stund","A1"
"tillhöra","A1"
"omfatta","A1"
"material","A1"
"pelare","A1"
"hjärta","A1"
"knappast","A1"
"befinna","A1"
"part","A1"
"trevlig","A1"
"höst","A1"
"skilja","A1"
"ens","A1"
"förmåga","A1"
"döda","A1"
"stånd","A1"
"peka","A1"
"bedömning","A1"
"ringa","A1"
"betrakta","A1"
"by","A1"
"utifrån","A1"
"brist","A1"
"hänga","A1"
"tillräckligt","A1"
"måndag","A1"
"aktuell","A1"
"någonsin (vardagl. nånsin)","A1"
"tillåta","A1"
"universitet","A1"
"konsekvens","A1"
"ställe","A1"
"hård","A1"
"majoritet","A1"
"domstol","A1"
"ordförande","A1"
"lördag","A1"
"låt","A1"
"herr","A1"
"sekvens","A1"
"förekomma","A1"
"stoppa","A1"
"nyhet","A1"
"journalist","A1"
"kris","A1"
"rycka","A1"
"trycka","A1"
"betydligt","A1"
"kosta","A1"
"band","A1"
"numera (el. numer)","A1"
"tillstånd","A1"
"värd","A1"
"igen","A1"
"imorgon (el. i morgon)","A1"
"klass","A1"
"uttrycka","A1"
"slutsats","A1"
"global","A1"
"mitt","A1"
"stol","A1"
"ytterligare","A1"
"effektiv","A1"
"resa","A1"
"förbättra","A1"
"rädda","A1"
"list","A1"
"relation","A1"
"agera","A1"
"central","A1"
"flera","A1"
"undersökning","A1"
"uppnå","A1"
"krona (förk. kr.)","A1"
"perspektiv","A1"
"plötsligt","A1"
"naturlig","A1"
"ålder","A1"
"process","A1"
"uttryck","A1"
"lista","A1"
"allra","A1"
"sökning","A1"
"ökning","A1"
"därför att","A1"
"rysk","A1"
"jämföra (förk. jfr)","A1"
"tills","A1"
"intresserad","A1"
"totalt","A1"
"hantera","A1"
"förvänta","A1"
"medel","A1"
"vika","A1"
"döma","A1"
"besöka","A1"
"hem","A1"
"var","A1"
"täcka","A1"
"borgerlig","A1"
"inleda","A1"
"helg","A1"
"undvika","A1"
"ryck","A1"
"tryck","A1"
"tydligen","A1"
"aktiv","A1"
"höja","A1"
"pappa","A1"
"varken…eller","A1"
"religiös","A1"
"råka","A1"
"verklig","A1"
"rent","A1"
"fantastisk","A1"
"grundläggande","A1"
"upptäcka","A1"
"erkänna","A1"
"helig","A1"
"lön","A1"
"historisk","A1"
"rest","A1"
"halv","A1"
"andel","A1"
"besök","A1"
"teknisk","A1"
"kasta","A1"
"hemsida","A1"
"bedöma","A1"
"torsdag","A1"
"tillväxt","A1"
"läsare","A1"
"forskare","A1"
"bidrag","A1"
"onsdag","A1"
"vilja","A1"
"sol","A1"
"inte minst","A1"
"analys","A1"
"ovan","A1"
"lagstiftning","A1"
"militär","A1"
"toppa","A1"
"sort","A1"
"fördel","A1"
"skydda","A1"
"nyttja","A1"
"utnyttja","A1"
"teori","A1"
"fransk","A1"
"pågå","A1"
"samling","A1"
"flertal","A1"
"snarare","A1"
"försvara","A1"
"modell","A1"
"skön","A1"
"vapen","A1"
"således","A1"
"förening","A1"
"lyfta","A1"
"eftermiddag (förk. em.)","A1"
"soldat","A1"
"märka","A1"
"gemenskap","A1"
"ösa","A1"
"fast","A1"
"styrka","A1"
"ersätta","A1"
"kille","A1"
"vård","A1"
"fullt","A1"
"ägna","A1"
"oavsett","A1"
"poäng","A1"
"satsa","A1"
"moderat","A1"
"rida","A1"
"jo","A1"
"tisdag","A1"
"död","A1"
"allmänt","A1"
"avsluta","A1"
"sova","A1"
"inne","A1"
"flicka","A1"
"sedan (vardagl. sen)","A1"
"total","A1"
"allvarlig","A1"
"fram","A1"
"ljus","A1"
"sjukdom","A1"
"unge","A1"
"i form av","A1"
"vikt","A1"
"rik","A1"
"region","A1"
"samtal","A1"
"negativ","A1"
"mycket","A1"
"i år","A1"
"igång","A1"
"vändning","A1"
"antingen…eller","A1"
"föda","A1"
"åter","A1"
"arbetare","A1"
"skjuta","A1"
"tradition","A1"
"hämta","A1"
"församling","A1"
"hav","A1"
"energi","A1"
"bred","A1"
"vad gäller","A1"
"fast","A1"
"påpeka","A1"
"bättra","A1"
"skaffa","A1"
"utgå","A1"
"samtlig","A1"
"stärka","A1"
"läkare","A1"
"fattig","A1"
"grepp","A1"
"hej","A1"
"utsätta","A1"
"spännande","A1"
"fort","A1"
"sikt","A1"
"revolution","A1"
"brev","A1"
"personal","A1"
"skada","A1"
"illa","A1"
"kämpa","A1"
"alltför","A1"
"tecken","A1"
"siffra","A1"
"tydligt","A1"
"än (el. ännu)","A1"
"hårt","A1"
"absolut","A1"
"eka","A1"
"engelsk","A1"
"praktik","A1"
"förmodligen","A1"
"hoppa","A1"
"morgon","A1"
"tjej","A1"
"konstig","A1"
"union","A1"
"kommande","A1"
"avgöra","A1"
"chef","A1"
"vis","A1"
"strid","A1"
"sända","A1"
"missa","A1"
"bedriva","A1"
"etcetera (el. et cetera, förk. etc.)","A1"
"anföra","A1"
"varm","A1"
"hit","A1"
"berättelse","A1"
"produktion","A1"
"kapitel (förk. kap.)","A1"
"hindra","A1"
"konst","A1"
"speciell","A1"
"allvar","A1"
"grön","A1"
"vår","A1"
"meddela","A1"
"omöjlig","A1"
"tillämpa","A1"
"skydd","A1"
"hittills","A1"
"sällan","A1"
"position","A1"
"behandling","A1"
"omfattande","A1"
"skog","A1"
"kritisera","A1"
"förklaring","A1"
"springa","A1"
"oerhört","A1"
"uppfatta","A1"
"foto","A1"
"islam","A1"
"stänga","A1"
"aning","A1"
"försvar","A1"
"meter","A1"
"evolution","A1"
"funktion","A1"
"dotter","A1"
"värdering","A1"
"råda","A1"
"ersättning","A1"
"slippa","A1"
